X [nm (air)],Y [Intensity]
321.5908203125,0.005212234
321.698333740234,0.00115659
321.805877685547,0.003243573
321.913421630859,0.01145807
322.020965576172,0.006331592
322.128540039063,0.004813194
322.236083984375,0.01629797
322.343658447266,-0.001738467
322.451232910156,6.807248e-05
322.558837890625,0.006274268
322.666412353516,0.008973436
322.774017333984,0.01125534
322.881622314453,-0.00298038
322.989227294922,0.003490729
323.096862792969,0.001533429
323.204498291016,0.00669343
323.312133789063,-0.00160456
323.419769287109,0.003550855
323.527404785156,0.03704138
323.635070800781,-0.006448764
323.742736816406,-0.004230672
323.850402832031,0.01142329
323.958068847656,0.01782057
324.065765380859,-0.002020303
324.173461914063,-0.005955962
324.281158447266,0.004274735
324.388854980469,-0.00371813
324.496551513672,0.002131953
324.604278564453,0.007089259
324.712005615234,0.00324699
324.819732666016,0.001323177
324.927490234375,0.01596894
325.035217285156,-0.007365465
325.142974853516,0.001530671
325.250732421875,0.0008522327
325.358489990234,-0.0033719
325.466278076172,0.003152006
325.574066162109,0.004856593
325.681854248047,0.003876512
325.789642333984,0.005464093
325.897430419922,0.002539601
326.005249023438,0.001710856
326.113067626953,0.007805158
326.220886230469,0.01534442
326.328704833984,-0.004527873
326.436553955078,0.007985528
326.544403076172,0.02228499
326.652252197266,0.01681977
326.760101318359,0.005135227
326.867950439453,0.009542903
326.975830078125,0.004244313
327.083709716797,0.00739447
327.191589355469,-0.001396103
327.299499511719,0.005180408
327.407379150391,0.01908247
327.515289306641,-0.002485394
327.623199462891,0.008415091
327.731109619141,-0.00223547
327.839050292969,-0.006270499
327.946990966797,-0.0003960514
328.054931640625,0.003320084
328.162872314453,0.005921789
328.270812988281,-0.003329551
328.378784179688,-0.00165147
328.486755371094,-0.00854549
328.5947265625,0.002535154
328.702697753906,0.02165887
328.810699462891,0.001118528
328.918670654297,0.007155646
329.026672363281,0.008688378
329.134704589844,0.01697955
329.242706298828,-0.002380587
329.350738525391,-0.002903507
329.458770751953,0.001744048
329.566802978516,0.003854342
329.674835205078,-0.00294069
329.782897949219,0.008006306
329.890960693359,0.03815298
329.9990234375,0.00251658
330.107086181641,0.00144173
330.215148925781,-0.006916465
330.3232421875,0.01597583
330.431335449219,0.008528234
330.539428710938,0.008315331
330.647521972656,-0.003622621
330.755645751953,0.005161009
330.86376953125,0.01595779
330.971893310547,0.01113051
331.080017089844,0.0271397
331.188171386719,0.01083427
331.296295166016,0.01886982
331.404449462891,-0.003431434
331.512603759766,-0.003710333
331.620788574219,0.003802932
331.728942871094,0.008926352
331.837127685547,-0.0007784098
331.9453125,-0.003076675
332.053527832031,0.006510112
332.161712646484,-0.0004778146
332.269927978516,-0.008755307
332.378143310547,-0.003482284
332.486358642578,0.01899159
332.594573974609,0.01131201
332.702819824219,0.003728348
332.811065673828,-0.008705101
332.919311523438,0.0002206033
333.027557373047,-0.0004469764
333.135833740234,0.005514379
333.244079589844,0.04592992
333.352355957031,-0.001764965
333.460662841797,0.002525622
333.568939208984,0.002233567
333.67724609375,-0.006076542
333.785552978516,0.008252569
333.893859863281,0.004268704
334.002166748047,-0.009930665
334.110473632813,0.0002143357
334.218811035156,0.005103158
334.3271484375,-0.0002381251
334.435485839844,0.0006613132
334.543853759766,-0.005750126
334.652191162109,0.01640544
334.760559082031,-0.0003663284
334.868927001953,0.007430843
334.977325439453,0.006514202
335.085693359375,0.0091248
335.194091796875,0.0003030372
335.302490234375,0.008479683
335.410888671875,0.007036212
335.519287109375,0.02969431
335.627716064453,0.008761438
335.736145019531,0.006621204
335.844573974609,-0.0007558934
335.953002929688,0.009808271
336.061462402344,0.01943274
336.169891357422,-0.005461147
336.278350830078,0.002397163
336.386840820313,0.01754734
336.495300292969,0.004469243
336.603790283203,-0.00493672
336.712249755859,-0.002866992
336.820770263672,-0.0011496
336.929260253906,0.001758172
337.037750244141,-0.006285778
337.146270751953,-0.009068375
337.254791259766,0.02394343
337.363311767578,0.001960333
337.471862792969,0.003833157
337.580383300781,-0.00292451
337.688934326172,-0.0007062525
337.797485351563,-0.002402663
337.906036376953,-0.003149543
338.014617919922,-0.002450965
338.123168945313,0.01209852
338.231750488281,0.0116934
338.340362548828,-0.002296332
338.448944091797,0.02330956
338.557525634766,0.005906032
338.666137695313,0.01261646
338.774749755859,-0.004853721
338.883392333984,-0.00311048
338.992004394531,0.003358519
339.100646972656,0.009283929
339.209289550781,-0.004989578
339.317932128906,0.008731316
339.426574707031,0.002494362
339.535247802734,0.01054531
339.643890380859,0.003347633
339.752563476563,0.003878395
339.861267089844,0.001225415
339.969940185547,0.01683649
340.078643798828,0.002539399
340.187347412109,0.01715364
340.296051025391,0.006243362
340.404754638672,0.008591425
340.513488769531,-0.007449938
340.622192382813,0.01601252
340.730926513672,0.01561204
340.839660644531,0.01416404
340.948425292969,-0.00476479
341.057159423828,-0.0008798944
341.165924072266,-0.00246947
341.274688720703,-0.002611369
341.383483886719,0.01521923
341.492248535156,0.004235016
341.601043701172,0.02339114
341.709838867188,0.0196177
341.818634033203,0.01456818
