X [nm (air)],Y [Intensity]
321.5908203125,0.006055696
321.698333740234,0.001906752
321.805877685547,0.003651011
321.913421630859,0.01159314
322.020965576172,0.007869017
322.128540039063,0.004632915
322.236083984375,0.0166646
322.343658447266,-0.001709826
322.451232910156,0.0004391603
322.558837890625,0.006479512
322.666412353516,0.009170808
322.774017333984,0.01224196
322.881622314453,-0.002255668
322.989227294922,0.003342631
323.096862792969,0.00246475
323.204498291016,0.006921526
323.312133789063,-0.001369232
323.419769287109,0.003094496
323.527404785156,0.03736615
323.635070800781,-0.006032967
323.742736816406,-0.00361697
323.850402832031,0.01118917
323.958068847656,0.01727024
324.065765380859,-0.001549214
324.173461914063,-0.005148349
324.281158447266,0.004876714
324.388854980469,-0.003018099
324.496551513672,0.002774657
324.604278564453,0.007997252
324.712005615234,0.003498666
324.819732666016,0.002045324
324.927490234375,0.0165354
325.035217285156,-0.006971109
325.142974853516,0.002711951
325.250732421875,0.001302821
325.358489990234,-0.002861162
325.466278076172,0.003077565
325.574066162109,0.005575069
325.681854248047,0.004404338
325.789642333984,0.005466076
325.897430419922,0.003585559
326.005249023438,0.001255958
326.113067626953,0.00816073
326.220886230469,0.01555484
326.328704833984,-0.003702021
326.436553955078,0.009161407
326.544403076172,0.023088
326.652252197266,0.01657283
326.760101318359,0.006171932
326.867950439453,0.009579089
326.975830078125,0.00427692
327.083709716797,0.007407102
327.191589355469,-0.001365078
327.299499511719,0.005566904
327.407379150391,0.01915764
327.515289306641,-0.002012598
327.623199462891,0.008921796
327.731109619141,-0.001946808
327.839050292969,-0.006305158
327.946990966797,-0.0009733387
328.054931640625,0.003856258
328.162872314453,0.006547996
328.270812988281,-0.002415912
328.378784179688,-0.00126812
328.486755371094,-0.008575722
328.5947265625,0.002818882
328.702697753906,0.02238606
328.810699462891,0.00166798
328.918670654297,0.008067466
329.026672363281,0.009166727
329.134704589844,0.01679123
329.242706298828,-0.002373341
329.350738525391,-0.002828077
329.458770751953,0.002650933
329.566802978516,0.004250748
329.674835205078,-0.002349499
329.782897949219,0.00736818
329.890960693359,0.03880506
329.9990234375,0.002159818
330.107086181641,0.001530816
330.215148925781,-0.006464523
330.3232421875,0.01598447
330.431335449219,0.009210251
330.539428710938,0.008440286
330.647521972656,-0.00305722
330.755645751953,0.005748018
330.86376953125,0.01580852
330.971893310547,0.01123194
331.080017089844,0.02781912
331.188171386719,0.01101557
331.296295166016,0.01980609
331.404449462891,-0.00385103
331.512603759766,-0.004103102
331.620788574219,0.004384014
331.728942871094,0.008838746
331.837127685547,0.0001827738
331.9453125,-0.003168087
332.053527832031,0.006708013
332.161712646484,-0.0002459708
332.269927978516,-0.009246025
332.378143310547,-0.003357123
332.486358642578,0.01898246
332.594573974609,0.01240329
332.702819824219,0.003385894
332.811065673828,-0.008317326
332.919311523438,0.0008651204
333.027557373047,8.945222e-05
333.135833740234,0.005728506
333.244079589844,0.04685575
333.352355957031,-0.001680497
333.460662841797,0.003214673
333.568939208984,0.002428465
333.67724609375,-0.006044233
333.785552978516,0.007922115
333.893859863281,0.004209442
334.002166748047,-0.01001437
334.110473632813,0.0001852258
334.218811035156,0.004719384
334.3271484375,-0.0001707409
334.435485839844,0.0002430927
334.543853759766,-0.005665723
334.652191162109,0.0171311
334.760559082031,-0.0006064997
334.868927001953,0.008250233
334.977325439453,0.007186732
335.085693359375,0.009259173
335.194091796875,0.001088218
335.302490234375,0.006347322
335.410888671875,0.007188221
335.519287109375,0.0298425
335.627716064453,0.009963578
335.736145019531,0.006618354
335.844573974609,-0.0009557458
335.953002929688,0.01024221
336.061462402344,0.02040312
336.169891357422,-0.005380267
336.278350830078,0.002556356
336.386840820313,0.01770833
336.495300292969,0.004448064
336.603790283203,-0.004810358
336.712249755859,-0.002608466
336.820770263672,-0.0007700508
336.929260253906,0.003090483
337.037750244141,-0.005984867
337.146270751953,-0.00895309
337.254791259766,0.02335022
337.363311767578,0.002432485
337.471862792969,0.003957925
337.580383300781,-0.002527518
337.688934326172,-0.0006663668
337.797485351563,-0.002593459
337.906036376953,-0.003105802
338.014617919922,-0.002156888
338.123168945313,0.01251465
338.231750488281,0.01131359
338.340362548828,-0.002716745
338.448944091797,0.02457703
338.557525634766,0.006260213
338.666137695313,0.01286667
338.774749755859,-0.004335333
338.883392333984,-0.002949029
338.992004394531,0.004116439
339.100646972656,0.009653468
339.209289550781,-0.004343039
339.317932128906,0.009739685
339.426574707031,0.003258595
339.535247802734,0.01091379
339.643890380859,0.003154901
339.752563476563,0.004266382
339.861267089844,0.001931365
339.969940185547,0.01709228
340.078643798828,0.002437954
340.187347412109,0.01667889
340.296051025391,0.006495541
340.404754638672,0.008093019
340.513488769531,-0.00810984
340.622192382813,0.01627818
340.730926513672,0.01623531
340.839660644531,0.01422528
340.948425292969,-0.004133866
341.057159423828,0.0001032917
341.165924072266,-0.002338938
341.274688720703,-0.001564855
341.383483886719,0.01497654
341.492248535156,0.004407001
341.601043701172,0.02326447
341.709838867188,0.01996846
341.818634033203,0.01465069
341.927429199219,-0.001589143
342.036254882813,-0.001561314
342.145080566406,0.001029139
342.25390625,0.01015543
342.362731933594,0.004802217
342.471557617188,-0.0003414489
342.580413818359,0.01105129
342.689270019531,-0.003837075
342.798126220703,0.006875784
342.906982421875,0.015024
