X [nm (air)],Y [Intensity]
321.5908203125,0.007500385
321.698333740234,0.00147065
321.805877685547,0.002930157
321.913421630859,0.01448905
322.020965576172,0.00939628
322.128540039063,0.005475995
322.236083984375,0.0192571
322.343658447266,-0.002125334
322.451232910156,0.0002791849
322.558837890625,0.006793441
322.666412353516,0.01029904
322.774017333984,0.01446674
322.881622314453,-0.004005109
322.989227294922,0.002196448
323.096862792969,-0.000247283
323.204498291016,0.007485118
323.312133789063,-0.00287003
323.419769287109,0.002821963
323.527404785156,0.04605673
323.635070800781,-0.007859002
323.742736816406,-0.004641231
323.850402832031,0.01230507
323.958068847656,0.01994258
324.065765380859,-0.002176889
324.173461914063,-0.006751793
324.281158447266,0.004378965
324.388854980469,-0.005498521
324.496551513672,0.003307047
324.604278564453,0.01023509
324.712005615234,0.004125313
324.819732666016,0.00174995
324.927490234375,0.02078529
325.035217285156,-0.01015324
325.142974853516,0.001080851
325.250732421875,0.0003691244
325.358489990234,-0.004994079
325.466278076172,0.003282595
325.574066162109,0.005617154
325.681854248047,0.004376997
325.789642333984,0.006246657
325.897430419922,0.003581045
326.005249023438,0.0005206635
326.113067626953,0.008480799
326.220886230469,0.01940785
326.328704833984,-0.004584859
326.436553955078,0.01100229
326.544403076172,0.02801491
326.652252197266,0.01884803
326.760101318359,0.005475633
326.867950439453,0.01126468
326.975830078125,0.004615178
327.083709716797,0.007375711
327.191589355469,-0.002265259
327.299499511719,0.0053739
327.407379150391,0.02320688
327.515289306641,-0.003086969
327.623199462891,0.01052911
327.731109619141,-0.003089811
327.839050292969,-0.009162042
327.946990966797,-0.00130278
328.054931640625,0.003801158
328.162872314453,0.00733901
328.270812988281,-0.004139811
328.378784179688,-0.002172717
328.486755371094,-0.009709581
328.5947265625,0.002090011
328.702697753906,0.02604766
328.810699462891,0.001326895
328.918670654297,0.009613512
329.026672363281,0.008592098
329.134704589844,0.01873417
329.242706298828,-0.003168941
329.350738525391,-0.004333869
329.458770751953,0.0004643162
329.566802978516,0.002482623
329.674835205078,-0.004000633
329.782897949219,0.008989732
329.890960693359,0.04905679
329.9990234375,0.001637543
330.107086181641,0.002250574
330.215148925781,-0.009391679
330.3232421875,0.0191123
330.431335449219,0.01051582
330.539428710938,0.01104335
330.647521972656,-0.004521986
330.755645751953,0.005148954
330.86376953125,0.01816908
330.971893310547,0.01298894
331.080017089844,0.03463766
331.188171386719,0.01001361
331.296295166016,0.02355401
331.404449462891,-0.004662903
331.512603759766,-0.004497323
331.620788574219,0.0017756
331.728942871094,0.009970054
331.837127685547,-0.001063762
331.9453125,-0.004998622
332.053527832031,0.006194962
332.161712646484,-0.002158065
332.269927978516,-0.01116744
332.378143310547,-0.004127156
332.486358642578,0.02241919
332.594573974609,0.01463516
332.702819824219,0.004910008
332.811065673828,-0.009675092
332.919311523438,-0.0008162492
333.027557373047,-0.001420842
333.135833740234,0.005941784
333.244079589844,0.05876299
333.352355957031,-0.00349539
333.460662841797,0.0005075051
333.568939208984,0.001573367
333.67724609375,-0.008431179
333.785552978516,0.008785886
333.893859863281,0.001547683
334.002166748047,-0.01300148
334.110473632813,-0.0003739049
334.218811035156,0.005877103
334.3271484375,-0.00157803
