X [nm (air)],Y [Intensity]
321.5908203125,0.006218733
321.698333740234,0.001599127
321.805877685547,0.002960364
321.913421630859,0.0117084
322.020965576172,0.007223422
322.128540039063,0.003958338
322.236083984375,0.01609373
322.343658447266,-0.00168408
322.451232910156,-0.0003126213
322.558837890625,0.006792164
322.666412353516,0.009125953
322.774017333984,0.01134551
322.881622314453,-0.002442798
322.989227294922,0.002626309
323.096862792969,0.001522871
323.204498291016,0.007261261
323.312133789063,-0.001251786
323.419769287109,0.003696201
323.527404785156,0.03821716
323.635070800781,-0.006628186
323.742736816406,-0.00358998
323.850402832031,0.01034994
323.958068847656,0.01684279
324.065765380859,-0.001376737
324.173461914063,-0.005598779
324.281158447266,0.003475914
324.388854980469,-0.002992577
324.496551513672,0.002371167
324.604278564453,0.007189238
324.712005615234,0.003238156
324.819732666016,0.002350102
324.927490234375,0.01631283
325.035217285156,-0.007664563
325.142974853516,0.002007358
325.250732421875,0.0006600439
325.358489990234,-0.003535759
325.466278076172,0.003005787
325.574066162109,0.005312101
325.681854248047,0.004306723
325.789642333984,0.005500186
325.897430419922,0.002477835
326.005249023438,0.001173407
326.113067626953,0.007369981
326.220886230469,0.01568188
326.328704833984,-0.0041801
326.436553955078,0.008567971
326.544403076172,0.02277227
326.652252197266,0.01691746
326.760101318359,0.00542776
326.867950439453,0.00958849
326.975830078125,0.004009557
327.083709716797,0.007268567
327.191589355469,-0.001349773
327.299499511719,0.006117597
327.407379150391,0.0184645
327.515289306641,-0.002181496
327.623199462891,0.008856415
327.731109619141,-0.002685407
327.839050292969,-0.006016334
327.946990966797,-0.001164905
328.054931640625,0.003647109
328.162872314453,0.006102612
328.270812988281,-0.002060826
328.378784179688,-0.001305884
328.486755371094,-0.009398081
328.5947265625,0.002300603
328.702697753906,0.02151375
328.810699462891,0.001436442
328.918670654297,0.007540838
329.026672363281,0.00919826
329.134704589844,0.0166553
329.242706298828,-0.001937518
329.350738525391,-0.002399474
329.458770751953,0.002017929
329.566802978516,0.003432544
329.674835205078,-0.002248784
329.782897949219,0.00783221
329.890960693359,0.03876593
329.9990234375,0.002656442
330.107086181641,0.001294865
330.215148925781,-0.00693481
330.3232421875,0.01561821
330.431335449219,0.009394303
330.539428710938,0.008358868
330.647521972656,-0.00327752
330.755645751953,0.005475027
330.86376953125,0.0162225
330.971893310547,0.01082199
331.080017089844,0.02783186
331.188171386719,0.01069262
331.296295166016,0.01944631
331.404449462891,-0.00356965
331.512603759766,-0.003688099
331.620788574219,0.003351351
331.728942871094,0.009048153
331.837127685547,-0.0009116158
331.9453125,-0.002742466
332.053527832031,0.007150551
332.161712646484,5.81686e-06
332.269927978516,-0.008865872
332.378143310547,-0.003283694
332.486358642578,0.01917746
332.594573974609,0.01121046
332.702819824219,0.003380249
332.811065673828,-0.008360771
332.919311523438,0.0007755967
333.027557373047,0.0005296157
333.135833740234,0.005652049
333.244079589844,0.0462161
333.352355957031,-0.001892966
333.460662841797,0.003482694
333.568939208984,0.001883788
333.67724609375,-0.005750307
333.785552978516,0.007908233
333.893859863281,0.004098916
334.002166748047,-0.01021996
334.110473632813,0.001075465
334.218811035156,0.004422773
334.3271484375,-0.0003532021
334.435485839844,0.0005803109
334.543853759766,-0.005902335
334.652191162109,0.01652069
334.760559082031,-0.0007274459
334.868927001953,0.008622251
334.977325439453,0.006635866
335.085693359375,0.009521038
335.194091796875,0.0005959093
335.302490234375,0.006804112
335.410888671875,0.006296795
335.519287109375,0.02995386
335.627716064453,0.009235655
335.736145019531,0.006857804
335.844573974609,-0.0007319871
335.953002929688,0.01065848
336.061462402344,0.02015739
336.169891357422,-0.005254204
336.278350830078,0.001879733
336.386840820313,0.01722241
336.495300292969,0.004620183
336.603790283203,-0.004552136
336.712249755859,-0.003075159
336.820770263672,-0.0001460452
336.929260253906,0.002407169
337.037750244141,-0.005810536
337.146270751953,-0.008828025
337.254791259766,0.02401995
337.363311767578,0.002049132
337.471862792969,0.004007961
337.580383300781,-0.002775744
337.688934326172,-0.0008238127
337.797485351563,-0.002561667
337.906036376953,-0.003514041
338.014617919922,-0.002400032
338.123168945313,0.01214103
338.231750488281,0.01067724
338.340362548828,-0.002861963
338.448944091797,0.02335574
338.557525634766,0.006017238
338.666137695313,0.01244948
338.774749755859,-0.004140259
338.883392333984,-0.003281065
338.992004394531,0.003717221
339.100646972656,0.009512516
339.209289550781,-0.00453648
339.317932128906,0.00956223
339.426574707031,0.003208381
339.535247802734,0.01093836
339.643890380859,0.002856623
339.752563476563,0.004852612
339.861267089844,0.001050118
339.969940185547,0.01700081
340.078643798828,0.00269694
340.187347412109,0.01748537
340.296051025391,0.005937403
340.404754638672,0.008058106
340.513488769531,-0.007693402
340.622192382813,0.01624333
340.730926513672,0.01562953
340.839660644531,0.01380964
340.948425292969,-0.004802159
341.057159423828,-0.0004409676
341.165924072266,-0.001888667
341.274688720703,-0.002632621
341.383483886719,0.01538179
341.492248535156,0.004694498
341.601043701172,0.02312859
341.709838867188,0.01962086
341.818634033203,0.01392837
